Výraz	Rod	Úroveň	Anglicky
muž	maskulinum	1	man
student	maskulinum	1	student
učitel	maskulinum	1	teacher
doktor	maskulinum	1	doctor
přítel	maskulinum	1	friend (male)
bratr	maskulinum	1	brother
otec	maskulinum	1	father
syn	maskulinum	1	son
pes	maskulinum	1	dog
stůl	maskulinum	1	table
dům	maskulinum	1	house
byt	maskulinum	1	apartment
vlak	maskulinum	1	train
autobus	maskulinum	1	bus
telefon	maskulinum	1	telephone
počítač	maskulinum	1	computer
rok	maskulinum	1	year
den	maskulinum	1	day
chléb	maskulinum	1	bread
sýr	maskulinum	1	cheese
žena	femininum	1	woman
matka	femininum	1	mother
sestra	femininum	1	sister
dcera	femininum	1	daughter
učitelka	femininum	1	teacher (female)
doktorka	femininum	1	doctor (female)
studentka	femininum	1	student (female)
Praha	femininum	1	Prague
škola	femininum	1	school
kniha	femininum	1	book
voda	femininum	1	water
káva	femininum	1	coffee
rodina	femininum	1	family
zahrada	femininum	1	garden
hodina	femininum	1	hour
minuta	femininum	1	minute
adresa	femininum	1	address
banka	femininum	1	bank
cena	femininum	1	price
mapa	femininum	1	map
město	neutrum	1	city
jezero	neutrum	1	lake
okno	neutrum	1	window
křeslo	neutrum	1	armchair
jablko	neutrum	1	apple
pivo	neutrum	1	beer
víno	neutrum	1	wine
maso	neutrum	1	meat
mléko	neutrum	1	milk
máslo	neutrum	1	butter
auto	neutrum	1	car
kino	neutrum	1	cinema
divadlo	neutrum	1	theatre
letadlo	neutrum	1	airplane
slovo	neutrum	1	word
číslo	neutrum	1	number
jméno	neutrum	1	name
místo	neutrum	1	place
světlo	neutrum	1	light
zlato	neutrum	1	gold
turista	maskulinum	2	tourist
starosta	maskulinum	2	mayor
předseda	maskulinum	2	chairman
táta	maskulinum	2	dad
specialista	maskulinum	2	specialist
policista	maskulinum	2	policeman
fotbalista	maskulinum	2	footballer
hokejista	maskulinum	2	hockey player
ateista	maskulinum	2	atheist
buddhista	maskulinum	2	Buddhist
optimista	maskulinum	2	optimist
pesimista	maskulinum	2	pessimist
stážista	maskulinum	2	intern
chleba	maskulinum	2	bread
žena	femininum	2	woman
matka	femininum	2	mother
sestra	femininum	2	sister
dcera	femininum	2	daughter
škola	femininum	2	school
kniha	femininum	2	book
voda	femininum	2	water
káva	femininum	2	coffee
rodina	femininum	2	family
zahrada	femininum	2	garden
hodina	femininum	2	hour
minuta	femininum	2	minute
adresa	femininum	2	address
banka	femininum	2	bank
cena	femininum	2	price
mapa	femininum	2	map
Praha	femininum	2	Prague
soudce	maskulinum	3	judge
průvodce	maskulinum	3	guide
vůdce	maskulinum	3	leader
vládce	maskulinum	3	ruler
dárce	maskulinum	3	donor
správce	maskulinum	3	administrator
obhájce	maskulinum	3	defender
zástupce	maskulinum	3	representative
příjemce	maskulinum	3	recipient
práce	femininum	3	work
ulice	femininum	3	street
židle	femininum	3	chair
přítelkyně	femininum	3	friend (female)
nemocnice	femininum	3	hospital
restaurace	femininum	3	restaurant
stanice	femininum	3	station
večeře	femininum	3	dinner
snídaně	femininum	3	breakfast
krize	femininum	3	crisis
kůže	femininum	3	skin / leather
lžíce	femininum	3	spoon
silnice	femininum	3	road
vůně	femininum	3	scent
soudce	maskulinum	4	judge
průvodce	maskulinum	4	guide
vůdce	maskulinum	4	leader
vládce	maskulinum	4	ruler
dárce	maskulinum	4	donor
správce	maskulinum	4	administrator
obhájce	maskulinum	4	defender
zástupce	maskulinum	4	representative
příjemce	maskulinum	4	recipient
práce	femininum	4	work
ulice	femininum	4	street
židle	femininum	4	chair
přítelkyně	femininum	4	friend (female)
nemocnice	femininum	4	hospital
restaurace	femininum	4	restaurant
stanice	femininum	4	station
večeře	femininum	4	dinner
snídaně	femininum	4	breakfast
krize	femininum	4	crisis
kůže	femininum	4	skin / leather
lžíce	femininum	4	spoon
silnice	femininum	4	road
vůně	femininum	4	scent
moře	neutrum	4	sea
nebe	neutrum	4	sky
pole	neutrum	4	field
schodiště	neutrum	4	staircase
stanoviště	neutrum	4	station / stop
učiliště	neutrum	4	vocational school
hřiště	neutrum	4	playground
letiště	neutrum	4	airport
nástupiště	neutrum	4	platform
parkoviště	neutrum	4	parking lot
pracoviště	neutrum	4	workplace
bydliště	neutrum	4	residence
srdce	neutrum	4	heart
vejce	neutrum	4	egg
rajče	neutrum	4	tomato
ovoce	neutrum	4	fruit
kuře	neutrum	4	chicken
dítě	neutrum	4	child
zvíře	neutrum	4	animal
Výraz	Rod	Úroveň	Anglicky
muž	maskulinum	5	man
student	maskulinum	5	student
učitel	maskulinum	5	teacher
doktor	maskulinum	5	doctor
přítel	maskulinum	5	friend (male)
bratr	maskulinum	5	brother
otec	maskulinum	5	father
syn	maskulinum	5	son
pes	maskulinum	5	dog
stůl	maskulinum	5	table
dům	maskulinum	5	house
byt	maskulinum	5	apartment
vlak	maskulinum	5	train
autobus	maskulinum	5	bus
telefon	maskulinum	5	telephone
počítač	maskulinum	5	computer
rok	maskulinum	5	year
den	maskulinum	5	day
chléb	maskulinum	5	bread
sýr	maskulinum	5	cheese
adresát	maskulinum	5	addressee
advokát	maskulinum	5	lawyer
aerobik	maskulinum	5	aerobics
alkohol	maskulinum	5	alcohol
asistent	maskulinum	5	assistant
automat	maskulinum	5	vending machine
balík	maskulinum	5	package
balon	maskulinum	5	balloon
banán	maskulinum	5	banana
bankomat	maskulinum	5	ATM
basketbal	maskulinum	5	basketball
bazén	maskulinum	5	pool
benzin	maskulinum	5	petrol
bod	maskulinum	5	point
bonbon	maskulinum	5	candy
březen	maskulinum	5	March
centimetr	maskulinum	5	centimetre
cirkus	maskulinum	5	circus
citron	maskulinum	5	lemon
cizinec	maskulinum	5	foreigner
cukr	maskulinum	5	sugar
čaj	maskulinum	5	tea
čas	maskulinum	5	time
časopis	maskulinum	5	magazine
červen	maskulinum	5	June
červenec	maskulinum	5	July
česnek	maskulinum	5	garlic
číšník	maskulinum	5	waiter
člověk	maskulinum	5	person
čtvrtek	maskulinum	5	Thursday
dárek	maskulinum	5	gift
dědeček	maskulinum	5	grandfather
dělník	maskulinum	5	worker
déšť	maskulinum	5	rain
deštník	maskulinum	5	umbrella
dezert	maskulinum	5	dessert
diplom	maskulinum	5	diploma
doklad	maskulinum	5	document
dopis	maskulinum	5	letter
dort	maskulinum	5	cake
duben	maskulinum	5	April
důchod	maskulinum	5	pension
důchodce	maskulinum	5	pensioner
džus	maskulinum	5	juice
farmář	maskulinum	5	farmer
fax	maskulinum	5	fax
film	maskulinum	5	film
fotbal	maskulinum	5	football
gauč	maskulinum	5	couch
gram	maskulinum	5	gram
guláš	maskulinum	5	goulash
gynekolog	maskulinum	5	gynaecologist
hasič	maskulinum	5	firefighter
herec	maskulinum	5	actor
hlad	maskulinum	5	hunger
hluk	maskulinum	5	noise
hokej	maskulinum	5	hockey
holič	maskulinum	5	barber
host	maskulinum	5	guest
hudebník	maskulinum	5	musician
hypermarket	maskulinum	5	hypermarket
chlapec	maskulinum	5	boy
infarkt	maskulinum	5	heart attack
informatik	maskulinum	5	IT specialist
inzerát	maskulinum	5	advertisement
jazyk	maskulinum	5	tongue / language
jazz	maskulinum	5	jazz
jih	maskulinum	5	south
jogurt	maskulinum	5	yoghurt
kabát	maskulinum	5	coat
kamarád	maskulinum	5	friend
kámen	maskulinum	5	stone
kartáček	maskulinum	5	toothbrush
kašel	maskulinum	5	cough
kečup	maskulinum	5	ketchup
kilogram	maskulinum	5	kilogram
kilometr	maskulinum	5	kilometre
klid	maskulinum	5	calm
kluk	maskulinum	5	boy
knedlík	maskulinum	5	dumpling
kolek	maskulinum	5	stamp
koncert	maskulinum	5	concert
konec	maskulinum	5	end
kopec	maskulinum	5	hill
kostel	maskulinum	5	church
kov	maskulinum	5	metal
krém	maskulinum	5	cream
krk	maskulinum	5	neck
kuchař	maskulinum	5	cook
květen	maskulinum	5	May
leden	maskulinum	5	January
lék	maskulinum	5	medicine
lékárník	maskulinum	5	pharmacist
lékař	maskulinum	5	doctor
les	maskulinum	5	forest
lístek	maskulinum	5	ticket / leaf
listopad	maskulinum	5	November
litr	maskulinum	5	litre
manžel	maskulinum	5	husband
měsíc	maskulinum	5	month / moon
metr	maskulinum	5	metre
míč	maskulinum	5	ball
mobil	maskulinum	5	mobile phone
Mongol	maskulinum	5	Mongolian
most	maskulinum	5	bridge
motor	maskulinum	5	engine
mráz	maskulinum	5	frost
muzikál	maskulinum	5	musical
nábytek	maskulinum	5	furniture
nájemník	maskulinum	5	tenant
nákup	maskulinum	5	purchase
nápad	maskulinum	5	idea
nápoj	maskulinum	5	drink
nepořádek	maskulinum	5	mess
nos	maskulinum	5	nose
novinář	maskulinum	5	journalist
oběd	maskulinum	5	lunch
obchod	maskulinum	5	shop
obličej	maskulinum	5	face
obor	maskulinum	5	field
odesílatel	maskulinum	5	sender
odjezd	maskulinum	5	departure
odpad	maskulinum	5	waste
opravář	maskulinum	5	repairman
orchestr	maskulinum	5	orchestra
pan	maskulinum	5	Mr
papír	maskulinum	5	paper
pardon	maskulinum	5	pardon
párek	maskulinum	5	sausage
pas	maskulinum	5	passport
pátek	maskulinum	5	Friday
plat	maskulinum	5	salary
ples	maskulinum	5	ball
plyn	maskulinum	5	gas
pobyt	maskulinum	5	stay
podnik	maskulinum	5	business
podnikatel	maskulinum	5	entrepreneur
podpis	maskulinum	5	signature
podzim	maskulinum	5	autumn
pojištěnec	maskulinum	5	insured person
pokoj	maskulinum	5	room
polyester	maskulinum	5	polyester
pomeranč	maskulinum	5	orange
